time,username,message
2026-05-20T19:23:53Z,Dani ❤️,пусни нещо по-весело
2026-05-20T19:24:12Z,Stefan K.,💗
2026-05-20T19:24:23Z,Rositsa 💎,🔥🔥🔥
2026-05-20T19:24:40Z,🎨 MIA 🎨,❤️❤️❤️
2026-05-20T19:24:57Z,Dark Wolf 🐺,[gift] Heart Me x10
2026-05-20T19:25:02Z,Stefan K.,аз съм нов тук
2026-05-20T19:25:08Z,Rositsa 💎,🎶
2026-05-20T19:25:31Z,Sunny Mod ☀️,как си тази вечер
2026-05-20T19:25:38Z,Vili,много хубава песен
2026-05-20T19:25:53Z,Rositsa 💎,супер си
2026-05-20T19:26:03Z,🎨 MIA 🎨,[emoji]
2026-05-20T19:26:18Z,Dark Wolf 🐺,браво!
2026-05-20T19:26:31Z,Georgi V.,здравейте всички 👋
2026-05-20T19:26:44Z,Dani ❤️,🎶
2026-05-20T19:26:47Z,Kris,добър вечер
2026-05-20T19:26:59Z,Dani ❤️,много хубава песен
2026-05-20T19:27:09Z,Rositsa 💎,как си тази вечер
2026-05-20T19:27:20Z,Nina P. 🌸,поздрави от Варна
2026-05-20T19:27:31Z,Loyal Regular,❤️❤️❤️
2026-05-20T19:27:55Z,Ivan 💎,❤️❤️❤️
